"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALBK","EQ","11-Apr-2019","         53.25","         53.30","         54.30","         52.70","         53.60","         53.70","         53.47","    6269568","           335242730.15","      12258","     600035","          9.57"
"ALBK","EQ","12-Apr-2019","         53.70","         53.40","         54.50","         53.30","         54.15","         54.30","         53.90","    4558719","           245720905.30","      10291","     801046","         17.57"
"ALBK","EQ","15-Apr-2019","         54.30","         54.35","         54.80","         53.50","         53.65","         53.70","         54.14","    3259578","           176471093.65","       8432","     368004","         11.29"
"ALBK","EQ","16-Apr-2019","         53.70","         54.10","         54.20","         51.50","         52.10","         51.85","         52.50","    7839640","           411595001.80","      15844","    1545685","         19.72"
"ALBK","EQ","18-Apr-2019","         51.85","         52.50","         52.50","         50.80","         50.85","         51.05","         51.38","    4833853","           248381738.95","      12039","     822878","         17.02"
"ALBK","EQ","22-Apr-2019","         51.05","         50.70","         51.20","         48.25","         48.40","         48.65","         49.83","    4995539","           248910763.75","      12195","    1121456","         22.45"
"ALBK","EQ","23-Apr-2019","         48.65","         49.00","         49.80","         48.70","         49.30","         49.35","         49.28","    6307027","           310823490.80","      14353","     813542","         12.90"
"ALBK","EQ","24-Apr-2019","         49.35","         49.50","         50.10","         49.00","         49.95","         49.85","         49.51","    4568906","           226220752.30","      12745","     484419","         10.60"
"ALBK","EQ","25-Apr-2019","         49.85","         50.25","         51.55","         49.00","         49.40","         49.65","         50.13","   13182518","           660849218.85","      23129","     533338","          4.05"
"ALBK","EQ","26-Apr-2019","         49.65","         49.50","         50.05","         48.70","         48.95","         49.15","         49.32","    4826714","           238052826.50","      10029","     539468","         11.18"
"ALBK","EQ","30-Apr-2019","         49.15","         48.65","         49.00","         46.15","         46.65","         46.95","         47.56","    5645142","           268487408.60","      11199","     687990","         12.19"
"ALBK","EQ","02-May-2019","         46.95","         46.95","         48.10","         46.00","         47.50","         47.40","         47.44","    5232347","           248238562.20","       9070","     394394","          7.54"
"ALBK","EQ","03-May-2019","         47.40","         47.45","         47.90","         46.90","         46.95","         47.05","         47.44","    3782029","           179423651.00","       7169","     402797","         10.65"
"ALBK","EQ","06-May-2019","         47.05","         46.70","         46.90","         46.05","         46.30","         46.35","         46.48","    2699167","           125446959.50","       6239","     410226","         15.20"
"ALBK","EQ","07-May-2019","         46.35","         46.40","         46.95","         44.75","         44.90","         44.90","         45.87","    2805252","           128665544.65","       6797","     414139","         14.76"
"ALBK","EQ","08-May-2019","         44.90","         44.90","         45.10","         43.85","         44.40","         44.45","         44.56","    3962709","           176570973.15","       8967","     581095","         14.66"
"ALBK","EQ","09-May-2019","         44.45","         44.45","         44.90","         44.05","         44.65","         44.50","         44.45","    2951980","           131211384.10","       5850","     245692","          8.32"
"ALBK","EQ","10-May-2019","         44.50","         45.25","         45.80","         43.80","         43.90","         45.05","         45.02","    7137951","           321332997.05","      14696","     708132","          9.92"
"ALBK","EQ","13-May-2019","         45.05","         43.40","         43.70","         41.05","         41.95","         41.60","         42.18","    8727907","           368183833.55","      18811","     926376","         10.61"
"ALBK","EQ","14-May-2019","         41.60","         41.30","         43.50","         40.30","         43.50","         42.90","         41.96","    6238716","           261777319.60","      13081","    1076293","         17.25"
"ALBK","EQ","15-May-2019","         42.90","         43.05","         43.70","         42.35","         42.85","         42.85","         43.08","    3892059","           167669255.90","       9033","     358118","          9.20"
"ALBK","EQ","16-May-2019","         42.85","         43.00","         43.00","         41.40","         42.40","         42.45","         42.19","    3413027","           143991751.95","       8703","     253928","          7.44"
"ALBK","EQ","17-May-2019","         42.45","         42.75","         42.85","         41.70","         42.55","         42.60","         42.24","    2607463","           110149633.35","       6613","     214572","          8.23"
"ALBK","EQ","20-May-2019","         42.60","         44.00","         47.00","         43.55","         46.35","         46.35","         45.56","    7049798","           321176406.05","      14214","     971937","         13.79"
"ALBK","EQ","21-May-2019","         46.35","         46.35","         46.85","         44.70","         45.20","         45.15","         45.65","    5124061","           233896361.50","       9930","     707463","         13.81"
"ALBK","EQ","22-May-2019","         45.15","         45.15","         48.65","         44.55","         48.65","         47.90","         46.65","    6830088","           318625511.75","      15921","    1037885","         15.20"
"ALBK","EQ","23-May-2019","         47.90","         50.30","         50.30","         45.25","         45.50","         45.60","         47.84","   10135718","           484906286.75","      21708","    1459011","         14.39"
"ALBK","EQ","24-May-2019","         45.60","         45.85","         47.60","         45.60","         47.40","         47.40","         46.76","    5819739","           272154974.90","      11102","     747764","         12.85"
"ALBK","EQ","27-May-2019","         47.40","         47.25","         48.65","         46.85","         47.75","         47.75","         47.81","    4735420","           226409938.35","      10445","     487208","         10.29"
"ALBK","EQ","28-May-2019","         47.75","         47.90","         48.00","         46.20","         46.50","         46.65","         46.82","    5093158","           238475245.55","      12101","     733380","         14.40"
"ALBK","EQ","29-May-2019","         46.65","         46.80","         46.80","         45.10","         45.70","         45.50","         45.63","    3259108","           148708364.05","       7813","     438759","         13.46"
"ALBK","EQ","30-May-2019","         45.50","         45.20","         46.85","         45.20","         46.10","         46.30","         46.26","    4388509","           203005105.90","      10950","     492896","         11.23"
"ALBK","EQ","31-May-2019","         46.30","         46.55","         46.90","         44.10","         44.90","         44.95","         45.36","    6037251","           273860247.70","      12173","     660303","         10.94"
"ALBK","EQ","03-Jun-2019","         44.95","         44.50","         45.25","         44.05","         44.65","         44.55","         44.55","    3314049","           147646726.95","       7236","     333092","         10.05"
"ALBK","EQ","04-Jun-2019","         44.55","         44.50","         46.30","         44.50","         45.30","         45.30","         45.57","    5733813","           261303960.75","      10403","     547190","          9.54"
"ALBK","EQ","06-Jun-2019","         45.30","         45.55","         45.60","         41.60","         41.95","         42.05","         43.44","    7437117","           323060066.45","      15989","    1497069","         20.13"
"ALBK","EQ","07-Jun-2019","         42.05","         42.05","         42.95","         41.00","         41.45","         41.55","         41.91","    5031016","           210852973.10","      10828","     615657","         12.24"
"ALBK","EQ","10-Jun-2019","         41.55","         42.05","         42.30","         39.80","         40.60","         40.55","         40.77","    5400145","           220152475.00","      12936","     707870","         13.11"
"ALBK","EQ","11-Jun-2019","         40.55","         40.25","         42.20","         40.10","         42.15","         41.95","         41.38","    5054035","           209154869.10","      10983","     622886","         12.32"
"ALBK","EQ","12-Jun-2019","         41.95","         41.80","         42.40","         41.40","         42.10","         42.00","         41.89","    3449285","           144486115.15","       6595","     352913","         10.23"
"ALBK","EQ","13-Jun-2019","         42.00","         42.00","         42.00","         40.10","         41.80","         41.70","         41.12","    4677039","           192332277.85","       9449","     321410","          6.87"
"ALBK","EQ","14-Jun-2019","         41.70","         41.65","         42.25","         41.30","         41.70","         41.75","         41.78","    2775270","           115943006.70","       5723","     274406","          9.89"
"ALBK","EQ","17-Jun-2019","         41.75","         41.60","         41.65","         40.50","         40.75","         40.70","         41.03","    3322389","           136314551.65","       6597","     383889","         10.82"
"ALBK","EQ","18-Jun-2019","         40.70","         41.00","         41.10","         39.80","         40.05","         40.15","         40.45","    3848569","           155688999.15","       7477","     405585","          9.77"
"ALBK","EQ","19-Jun-2019","         40.15","         40.20","         40.60","         38.90","         40.00","         39.65","         39.73","    4563087","           181297473.70","       8202","     620466","         13.60"
"ALBK","EQ","20-Jun-2019","         39.65","         39.80","         40.90","         39.15","         40.70","         40.70","         40.23","    3130037","           125915969.20","       6526","     496834","         15.87"
"ALBK","EQ","21-Jun-2019","         40.70","         40.70","         41.80","         40.25","         41.20","         41.15","         41.02","    3229978","           132494137.60","       7865","     507079","         15.70"
"ALBK","EQ","24-Jun-2019","         41.15","         41.20","         41.30","         40.55","         40.60","         40.80","         40.91","    2144903","            87740730.25","       5238","     300584","         14.01"
"ALBK","EQ","25-Jun-2019","         40.80","         40.75","         42.85","         40.60","         42.35","         42.45","         41.89","    4202469","           176049466.65","       9258","     837765","         19.94"
"ALBK","EQ","26-Jun-2019","         42.45","         42.30","         50.90","         42.00","         47.55","         49.05","         46.86","   18155558","           850710625.40","      35897","    2960687","         16.31"
"ALBK","EQ","27-Jun-2019","         49.05","         48.00","         51.00","         46.70","         49.50","         49.55","         48.49","   15847681","           768491672.05","      33244","    2056457","         12.98"
"ALBK","EQ","28-Jun-2019","         49.55","         49.80","         50.50","         48.80","         49.75","         49.85","         49.65","    7059439","           350487102.35","      18677","     932690","         13.21"
